number,value,params_lncrna_weight,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.9206831871172483,0.8474662085622164,,0.3,9,3,180,COMPLETE
1,0.9335215551520369,1.79441200597611,30.0,0.3,2,13,110,COMPLETE
2,0.9401335709229114,1.7114162022345731,100.0,0.2,9,20,260,COMPLETE
3,0.9436853679327014,4.941279156862903,,sqrt,2,12,60,COMPLETE
4,0.9485529794230475,5.807642547563794,50.0,0.3,4,17,80,COMPLETE
5,0.9205998426564305,0.5855459534005121,30.0,0.2,1,16,320,COMPLETE
6,0.9358732850406675,1.4466526045160473,50.0,0.2,8,4,160,COMPLETE
7,0.9155981052589195,0.7463748450077031,30.0,log2,3,19,50,COMPLETE
8,0.9388985899717621,1.4450960696968438,30.0,log2,6,18,380,COMPLETE
9,0.9492529554043466,5.593697843542974,,sqrt,4,4,340,COMPLETE
10,0.9514686585211054,3.531113432660882,20.0,sqrt,6,7,400,COMPLETE
11,0.9511682058279858,3.4170275267228987,20.0,sqrt,6,7,400,COMPLETE
12,0.9425067082116945,3.141779157685739,20.0,0.5,6,8,400,COMPLETE
13,0.9514244277244224,3.261687024766574,20.0,sqrt,7,8,270,COMPLETE
14,0.9500279702988929,2.8132106486370287,20.0,sqrt,7,8,270,COMPLETE
15,0.9504898115943433,2.4813598757872075,20.0,sqrt,10,10,310,COMPLETE
16,0.9419842741403331,4.139451164085385,20.0,0.5,5,6,220,COMPLETE
17,0.9465513453540896,2.241753226338048,100.0,sqrt,7,10,350,COMPLETE
18,0.9545909283471333,3.9633872535268826,20.0,sqrt,8,14,280,COMPLETE
19,0.955579390037601,4.233387545774506,20.0,sqrt,8,15,220,COMPLETE
20,0.9510135789869688,4.602233755780326,20.0,0.5,10,15,210,COMPLETE
21,0.9543656739682708,3.8803356473027053,20.0,sqrt,8,14,160,COMPLETE
22,0.9550426356807988,4.134481984113611,20.0,sqrt,8,14,140,COMPLETE
23,0.9558935141485331,4.447446875278052,20.0,sqrt,8,15,130,COMPLETE
24,0.9495592698472413,2.2941571561224934,20.0,log2,9,16,120,COMPLETE
25,0.9559929547433145,4.766196225161987,100.0,sqrt,8,12,100,COMPLETE
26,0.9565413313460228,4.616165632577631,100.0,sqrt,9,11,90,COMPLETE
27,0.9589086731971115,5.861540746674191,100.0,sqrt,10,11,90,COMPLETE
28,0.9588673096598782,5.90935791300653,100.0,sqrt,10,11,90,COMPLETE
29,0.9542952531562591,5.9246171114514725,100.0,0.3,10,10,70,COMPLETE
30,0.9219890566253662,0.9157173484911687,100.0,log2,9,11,90,COMPLETE
31,0.9581699379234861,5.216242491878879,100.0,sqrt,10,12,100,COMPLETE
32,0.9580743176081445,5.1684534022204724,100.0,sqrt,10,12,190,COMPLETE
33,0.9583164873453919,5.254638924973821,100.0,sqrt,10,12,180,COMPLETE
34,0.9545323100180817,5.866978738215803,100.0,0.3,10,13,150,COMPLETE
35,0.9545587385596294,5.033673462867045,100.0,0.2,9,9,190,COMPLETE
36,0.9581421776987235,5.226915598549399,100.0,sqrt,10,13,110,COMPLETE
37,0.9465418204839056,2.8337820542854195,100.0,0.3,10,11,50,COMPLETE
38,0.9555727448757714,5.896918773140529,50.0,0.2,9,12,170,COMPLETE
39,0.9435560694856558,1.8304344495229543,,sqrt,9,9,70,COMPLETE
40,0.951734782768504,5.17922306213235,100.0,0.5,10,13,240,COMPLETE
41,0.9578696047882804,5.158236538436338,100.0,sqrt,10,13,110,COMPLETE
42,0.9296262193937341,1.0803643068266187,100.0,sqrt,9,12,120,COMPLETE
43,0.9551750775946228,3.709214881299815,100.0,sqrt,10,2,80,COMPLETE
44,0.958667225640272,5.480222086131422,30.0,sqrt,10,11,100,COMPLETE
45,0.9575781526317283,5.509445819109938,30.0,sqrt,9,11,140,COMPLETE
46,0.9355665278583617,4.613756928464511,30.0,0.2,2,9,50,COMPLETE
47,0.8936201781481712,0.5358646286077325,30.0,log2,9,10,70,COMPLETE
48,0.9551334172359969,3.511716219324146,50.0,sqrt,10,6,90,COMPLETE
49,0.9507335916723537,3.0863424527613557,,sqrt,4,20,130,COMPLETE
50,0.9581305576345467,5.985685884367464,30.0,sqrt,9,17,180,COMPLETE
51,0.9583136700025098,5.28936082879504,100.0,sqrt,10,13,110,COMPLETE
52,0.9585386457262087,5.473388437470385,100.0,sqrt,10,11,100,COMPLETE
53,0.9575304475979939,4.783835134046934,100.0,sqrt,10,10,80,COMPLETE
54,0.933693498514744,4.344922752293347,100.0,sqrt,1,11,120,COMPLETE
55,0.9477257949816452,3.848309843842224,30.0,0.5,9,9,60,COMPLETE
56,0.9584404859741925,5.559985461840213,50.0,sqrt,10,11,100,COMPLETE
57,0.9522237828850478,5.5917965851494555,50.0,sqrt,5,8,150,COMPLETE
58,0.9523312280420256,4.169549266550707,50.0,0.3,10,10,100,COMPLETE
59,0.9164531040546192,0.7127722533520138,50.0,sqrt,7,7,240,COMPLETE
60,0.9367765318354045,1.390526086555544,,sqrt,8,11,130,COMPLETE
61,0.958417667688512,5.43772063734654,100.0,sqrt,10,12,110,COMPLETE
62,0.9575020365790275,4.860091494307046,50.0,sqrt,10,14,60,COMPLETE
63,0.957637224060592,5.597400932868996,100.0,sqrt,9,12,90,COMPLETE
64,0.9570022135467487,4.284997518497038,30.0,sqrt,10,11,100,COMPLETE
65,0.9578616909977713,4.842607717039572,100.0,log2,9,10,80,COMPLETE
66,0.9586358193746719,5.526417756701629,100.0,sqrt,10,14,160,COMPLETE
67,0.9588699578699251,5.630931084583048,100.0,sqrt,10,15,140,COMPLETE
68,0.9493536176786871,4.614901119799265,50.0,0.5,9,16,150,COMPLETE
69,0.9563943562852267,5.923772530696905,100.0,0.2,10,19,140,COMPLETE
70,0.9555720921651761,4.408320306768337,30.0,sqrt,8,15,160,COMPLETE
71,0.9585341408477968,5.518250745280519,100.0,sqrt,10,14,120,COMPLETE
72,0.9585406932746482,5.575124139113219,100.0,sqrt,10,17,120,COMPLETE
73,0.9574707845176452,4.879778846099267,100.0,sqrt,10,16,120,COMPLETE
74,0.9556986223260343,4.026398513093178,100.0,sqrt,9,18,130,COMPLETE
75,0.9586634912869919,5.556891343121736,100.0,sqrt,10,14,200,COMPLETE
76,0.9584732830878165,5.991728737604428,100.0,sqrt,9,17,190,COMPLETE
77,0.9539251990851941,5.008488751860428,100.0,0.3,10,15,200,COMPLETE
78,0.9574089583446607,4.476513151779844,100.0,sqrt,10,18,140,COMPLETE
79,0.955927735111112,3.686528374315624,100.0,log2,9,14,170,COMPLETE
80,0.9586555596760084,5.613396226299372,100.0,sqrt,10,15,210,COMPLETE
81,0.9589064838093583,5.590502090225014,100.0,sqrt,10,15,200,COMPLETE
82,0.9582840706896859,5.0667075904970575,100.0,sqrt,10,15,210,COMPLETE
83,0.9586703935794839,5.7239799321667935,100.0,sqrt,10,16,220,COMPLETE
84,0.9592351886467584,5.964391344021114,100.0,sqrt,10,16,240,COMPLETE
85,0.9584846162620693,5.983567932237632,100.0,sqrt,9,16,250,COMPLETE
86,0.945649931265771,1.8800889049512775,,sqrt,10,16,290,COMPLETE
87,0.9543687585352019,5.18542847613729,100.0,0.2,9,17,220,COMPLETE
88,0.957441755717155,4.62491200239717,100.0,sqrt,10,15,230,COMPLETE
89,0.9498358044591503,4.99527331956144,100.0,sqrt,3,13,260,COMPLETE
90,0.9472324540703564,5.628804696541395,30.0,0.5,5,16,210,COMPLETE
91,0.9581617079719157,5.308077123659627,100.0,sqrt,10,14,230,COMPLETE
92,0.9586917954393742,5.702364288708532,100.0,sqrt,10,14,200,COMPLETE
93,0.9589723973496699,5.784710153273145,100.0,sqrt,10,15,210,COMPLETE
94,0.9565872262199694,4.797319433510351,100.0,sqrt,9,17,200,COMPLETE
95,0.9589167788619971,5.856541462913716,100.0,sqrt,10,13,240,COMPLETE
96,0.9593898887114719,5.9315801531986745,100.0,sqrt,10,13,250,COMPLETE
97,0.9584493651067074,5.871898861019198,100.0,sqrt,9,13,250,COMPLETE
98,0.944677278251754,5.132788531242993,100.0,0.3,3,15,280,COMPLETE
99,0.9592401591371056,5.997242690895219,100.0,sqrt,10,13,240,COMPLETE
100,0.9583706610726349,5.292908008104557,100.0,sqrt,10,13,260,COMPLETE
101,0.958790180756607,5.811470452325358,100.0,sqrt,10,13,240,COMPLETE
102,0.9588970446279704,5.812206538724494,100.0,sqrt,10,13,240,COMPLETE
103,0.9584807971308176,5.307215705722903,100.0,sqrt,10,13,240,COMPLETE
104,0.959261888573792,5.872351280312661,100.0,sqrt,10,12,250,COMPLETE
105,0.9580265359504979,4.989241944096508,100.0,sqrt,10,12,250,COMPLETE
106,0.9591734085026823,5.966283822794791,100.0,log2,9,12,260,COMPLETE
107,0.9341797912846351,1.226814897893001,100.0,log2,9,12,270,COMPLETE
108,0.9585683576372008,4.674680536386825,,log2,10,12,300,COMPLETE
109,0.9590909622263095,5.95946111927476,100.0,log2,9,14,270,COMPLETE
110,0.9589444575389146,5.943805088549379,100.0,log2,9,13,270,COMPLETE
111,0.9577393818559462,5.94556141777329,100.0,log2,7,13,270,COMPLETE
112,0.9580184232673092,5.309386324647765,100.0,log2,8,12,320,COMPLETE
113,0.958430702706615,5.009187501836943,100.0,log2,9,13,280,COMPLETE
114,0.958732889225386,5.363661849768195,100.0,log2,9,14,230,COMPLETE
115,0.9588629331982798,5.918184094334729,20.0,log2,8,13,260,COMPLETE
116,0.9591673610760026,5.9942180104162315,100.0,log2,9,14,250,COMPLETE
117,0.9585216966621584,5.350852809279633,100.0,log2,9,14,280,COMPLETE
118,0.9585069945012892,5.98243406324713,100.0,log2,8,12,250,COMPLETE
119,0.95791547867862,4.519172098951102,100.0,log2,9,14,360,COMPLETE
120,0.9508732454884629,2.5138709974135267,100.0,log2,9,15,290,COMPLETE
121,0.9594869263103982,5.668061347519699,100.0,log2,10,13,270,COMPLETE
122,0.959428800019889,5.634073621661744,100.0,log2,10,12,260,COMPLETE
123,0.958869647820998,4.808473616273957,100.0,log2,10,12,290,COMPLETE
124,0.9590112967733959,5.993463100807015,100.0,log2,9,11,270,COMPLETE
125,0.9576443119821981,5.103834125229807,100.0,log2,8,13,260,COMPLETE
126,0.9593711905310597,5.987210894810103,100.0,log2,9,12,270,COMPLETE
127,0.9589160442485629,5.386425174024419,100.0,log2,9,11,270,COMPLETE
128,0.9590849911550675,5.640964055767649,100.0,log2,9,12,270,COMPLETE
129,0.9583734460909472,5.616020567114519,100.0,log2,8,12,300,COMPLETE
130,0.9555303120439439,5.052809140898389,20.0,log2,6,12,250,COMPLETE
131,0.9589210876713942,5.665831809937848,100.0,log2,9,11,260,COMPLETE
132,0.9585790176736332,5.383977235726167,100.0,log2,9,14,270,COMPLETE
133,0.9593747008967162,5.976023319507654,100.0,log2,9,10,260,COMPLETE
134,0.9471629815320609,2.0115230277711764,100.0,log2,9,10,250,COMPLETE
135,0.9588367729152893,5.632542264959533,100.0,log2,9,10,280,COMPLETE
136,0.9581360805160158,4.838938236312248,,log2,9,12,230,COMPLETE
137,0.9583313697607214,5.998693955464147,100.0,log2,8,11,260,COMPLETE
138,0.9586801439809237,5.398499050005123,100.0,log2,9,11,270,COMPLETE
139,0.9415748010481796,1.5670392934967399,100.0,log2,9,12,280,COMPLETE
140,0.9589812880719236,5.212209246442783,100.0,log2,10,10,260,COMPLETE
141,0.9594843682453303,5.683434792159268,100.0,log2,10,10,260,COMPLETE
142,0.9593305832458628,5.244035891808653,100.0,log2,10,9,250,COMPLETE
143,0.9593737418737988,5.568144156018837,100.0,log2,10,9,250,COMPLETE
144,0.9594540212503775,5.45948643219707,100.0,log2,10,9,250,COMPLETE
145,0.9164611056373114,0.8014098755876762,100.0,log2,10,8,240,COMPLETE
146,0.9589078956470027,5.132858437668643,100.0,log2,10,8,250,COMPLETE
147,0.9593653594862853,5.47704183238307,100.0,log2,10,9,230,COMPLETE
148,0.9587026826541866,4.892224972899737,100.0,log2,10,9,230,COMPLETE
149,0.9594926711964419,5.441746076385212,100.0,log2,10,9,240,COMPLETE
150,0.9582519332497172,4.391869093624832,100.0,log2,10,9,240,COMPLETE
151,0.9592579253850536,5.447864675155197,100.0,log2,10,9,250,COMPLETE
152,0.9593139369078286,5.43343893794246,100.0,log2,10,7,230,COMPLETE
153,0.9554204550751785,5.4003863595768395,100.0,0.2,10,6,220,COMPLETE
154,0.9591691296037945,5.1401565166677825,100.0,log2,10,7,230,COMPLETE
155,0.9510675344809583,4.692530953165483,100.0,0.5,10,9,240,COMPLETE
156,0.9592328505280784,5.51644718204587,100.0,log2,10,9,220,COMPLETE
157,0.958812638636748,4.928799651248191,100.0,log2,10,8,250,COMPLETE
158,0.9593216737654692,5.579596722829014,100.0,log2,10,9,240,COMPLETE
159,0.9593037363849793,5.334521268431417,50.0,log2,10,9,250,COMPLETE
160,0.9584680712536026,4.55437235537919,50.0,log2,10,8,250,COMPLETE
161,0.9595996099499903,5.397511431384711,50.0,log2,10,9,230,COMPLETE
162,0.9589242739507188,5.295577981672772,50.0,log2,10,9,230,COMPLETE
163,0.9594795432915446,5.596554819672918,50.0,log2,10,4,260,COMPLETE
164,0.9589887585768663,5.110063340748414,50.0,log2,10,3,260,COMPLETE
165,0.9596461257888417,5.634877203771656,50.0,log2,10,4,220,COMPLETE
166,0.9594053874722861,5.606897690616669,50.0,log2,10,4,220,COMPLETE
167,0.9593405694239872,5.6026933346462355,50.0,log2,10,4,210,COMPLETE
168,0.9595159365493054,5.639741793802873,50.0,log2,10,4,220,COMPLETE
169,0.9590152029364208,4.907172460719042,50.0,log2,10,4,220,COMPLETE
170,0.9596231411902046,5.605595131764222,50.0,log2,10,3,210,COMPLETE
171,0.9592482077186939,5.674047113772371,50.0,log2,10,3,210,COMPLETE
172,0.9595576401585265,5.632700486686282,50.0,log2,10,5,220,COMPLETE
173,0.9595073678356375,5.665497717371831,50.0,log2,10,4,220,COMPLETE
174,0.9061663009820354,0.652125414834847,50.0,log2,10,4,220,COMPLETE
175,0.9595648419730831,5.660440439875667,50.0,log2,10,5,210,COMPLETE
176,0.9593249861498969,5.640898164462047,50.0,log2,10,5,190,COMPLETE
177,0.953785633945964,5.006805244832743,50.0,0.3,10,5,210,COMPLETE
178,0.9589260118393309,5.199575758041773,50.0,log2,10,5,200,COMPLETE
179,0.9595911927046435,5.673056902008848,50.0,log2,10,2,220,COMPLETE
180,0.9594923463220978,5.69723580269449,50.0,log2,10,2,220,COMPLETE
181,0.959533668581713,5.679541867064541,50.0,log2,10,2,210,COMPLETE
182,0.9591726634566976,5.674546873641044,50.0,log2,10,2,220,COMPLETE
183,0.9594533327720601,5.6941519599845645,50.0,log2,10,2,210,COMPLETE
184,0.9589836271775339,5.181303615373787,50.0,log2,10,2,190,COMPLETE
185,0.959288045245598,5.685393170124378,50.0,log2,10,3,210,COMPLETE
186,0.9585608193628712,4.81148773931622,50.0,log2,10,2,220,COMPLETE
