number,value,params_lncrna_weight,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.9195249651324483,0.8474662085622164,,0.3,9,3,180,COMPLETE
1,0.9320063643920421,1.79441200597611,30.0,0.3,2,13,110,COMPLETE
2,0.9391230583504656,1.7114162022345731,100.0,0.2,9,20,260,COMPLETE
3,0.9426633910440666,4.941279156862903,,sqrt,2,12,60,COMPLETE
4,0.9478823555902617,5.807642547563794,50.0,0.3,4,17,80,COMPLETE
5,0.9198493186268761,0.5855459534005121,30.0,0.2,1,16,320,COMPLETE
6,0.934780946484458,1.4466526045160473,50.0,0.2,8,4,160,COMPLETE
7,0.9147449196339007,0.7463748450077031,30.0,log2,3,19,50,COMPLETE
8,0.9375588332153879,1.4450960696968438,30.0,log2,6,18,380,COMPLETE
9,0.9481886734415523,5.593697843542974,,sqrt,4,4,340,COMPLETE
10,0.9506164037870208,3.531113432660882,20.0,sqrt,6,7,400,COMPLETE
11,0.9503690944634554,3.4170275267228987,20.0,sqrt,6,7,400,COMPLETE
12,0.9415106918739015,3.141779157685739,20.0,0.5,6,8,400,COMPLETE
13,0.9509961941371632,3.261687024766574,20.0,sqrt,7,8,270,COMPLETE
14,0.9491451855435408,2.8132106486370287,20.0,sqrt,7,8,270,COMPLETE
15,0.9498118921132442,2.4813598757872075,20.0,sqrt,10,10,310,COMPLETE
16,0.9415738960650758,4.139451164085385,20.0,0.5,5,6,220,COMPLETE
17,0.9457255345516323,2.241753226338048,100.0,sqrt,7,10,350,COMPLETE
18,0.9538673912793936,3.9633872535268826,20.0,sqrt,8,14,280,COMPLETE
19,0.9546446554489599,4.233387545774506,20.0,sqrt,8,16,260,COMPLETE
20,0.9502854499700389,4.602233755780326,20.0,0.5,10,15,220,COMPLETE
21,0.9540022553126116,4.024987193731037,20.0,sqrt,8,14,270,COMPLETE
22,0.9546191586951974,4.138558845812502,20.0,sqrt,8,14,290,COMPLETE
23,0.9470340245881367,2.279974988178205,20.0,sqrt,8,15,240,COMPLETE
24,0.9569441463315981,4.63782025833122,20.0,log2,9,12,190,COMPLETE
25,0.9575891289133889,5.1299599361719315,100.0,log2,9,11,190,COMPLETE
26,0.9571420122937292,4.701735955478487,100.0,log2,9,11,160,COMPLETE
27,0.9586606785850891,5.86292620521752,100.0,log2,9,11,160,COMPLETE
28,0.0,5.909392105524644,100.0,log2,10,10,130,COMPLETE
29,0.9247906222764947,0.9867430519559082,100.0,log2,9,11,170,COMPLETE
30,0.9578992088310728,5.229921426123315,100.0,log2,9,11,140,COMPLETE
31,0.9579035128374941,5.216521468750769,100.0,log2,9,11,140,COMPLETE
32,0.9585978876545648,5.27585535583516,100.0,log2,10,12,120,COMPLETE
33,0.0,5.909419660875929,100.0,log2,10,12,120,COMPLETE
34,0.9579911485074749,5.14861932787868,100.0,log2,10,9,90,COMPLETE
35,0.9495487600786925,3.559613531782971,100.0,0.3,10,9,90,COMPLETE
36,0.9525214236752256,2.809122744679191,100.0,log2,10,13,90,COMPLETE
37,0.957444376775622,5.252836300123405,100.0,log2,9,9,70,COMPLETE
38,0.9541707764896129,4.654976257995648,50.0,0.2,10,13,100,COMPLETE
39,0.9249667335592388,1.0134439780566138,,0.3,9,2,140,COMPLETE
40,0.9417343295073864,1.7912103766266618,100.0,log2,7,5,110,COMPLETE
41,0.9580290522951364,5.2436729424473265,100.0,log2,9,12,140,COMPLETE
42,0.0,5.334786858234625,100.0,log2,10,12,150,COMPLETE
43,0.0,5.982061881169951,100.0,log2,9,9,50,COMPLETE
44,0.9547657500614216,3.7906329327973167,30.0,log2,8,13,120,COMPLETE
45,0.9576581303226391,4.839425684836125,100.0,log2,9,10,200,COMPLETE
46,0.9366963126304227,2.893638140094936,,0.2,2,12,80,COMPLETE
47,0.8909818262631148,0.5358646286077325,50.0,log2,10,7,110,COMPLETE
48,0.9390339102130058,1.5014977987619476,100.0,log2,10,9,170,COMPLETE
49,0.948596459074803,5.463223017138103,100.0,0.3,4,20,70,COMPLETE
50,0.9540700196068275,4.381087772396077,30.0,log2,5,17,150,COMPLETE
51,0.9579108209139737,5.29576662855376,100.0,log2,9,11,130,COMPLETE
52,0.9577080457968767,4.955721636664466,100.0,log2,9,10,130,COMPLETE
53,0.9489607775780803,5.500010916115739,100.0,0.5,8,11,90,COMPLETE
54,0.9534200670734844,3.62677425015651,100.0,log2,7,8,120,COMPLETE
55,0.9568749386686667,4.433791610456824,100.0,log2,9,13,170,COMPLETE
56,0.9525348255122745,3.907526427976303,50.0,0.2,10,12,140,COMPLETE
57,0.9576601499605889,5.5917965851494555,100.0,log2,8,10,200,COMPLETE
58,0.9572534819279414,5.072830078268273,,log2,9,15,100,COMPLETE
59,0.9221157535398232,0.6970968744884909,100.0,0.5,1,14,160,COMPLETE
60,0.9527701723420976,3.3579810258006852,100.0,log2,8,8,60,COMPLETE
61,0.9576648136796203,5.0922949212970785,100.0,log2,9,11,130,COMPLETE
62,0.9565920271035336,4.376663725379719,100.0,log2,9,11,140,COMPLETE
63,0.0,5.458753858845339,100.0,log2,10,11,180,COMPLETE
64,0.9576572168443449,4.8523989143791635,100.0,log2,9,9,150,COMPLETE
65,0.0,5.970488484013225,30.0,log2,10,12,100,COMPLETE
66,0.9558943617261141,4.06299595372383,100.0,log2,8,13,110,COMPLETE
67,0.9520511244917093,4.350175751408416,100.0,0.3,10,10,230,COMPLETE
68,0.9575917542009919,5.080864377086344,100.0,log2,9,7,130,COMPLETE
69,0.9455245894972869,1.9660621774714222,100.0,log2,9,11,180,COMPLETE
70,0.9494097719418404,3.008273689200292,50.0,0.2,10,12,80,COMPLETE
71,0.9572859441503301,4.735822554710041,100.0,log2,9,9,130,COMPLETE
